Weekday,hour,minute,day_of_year,Quantity-1,Power
0,6,56,228,373431972.0,429149182.0
1,8,19,355,626862992.0,579574556.0
5,13,56,275,319485866.0,1056828479.0
5,2,0,198,674180654.0,310104744.0
5,0,31,268,425910860.0,332635230.0
3,21,19,315,1543514273.0,572527500.0
4,22,38,225,472252953.0,392259525.0
1,2,18,236,429149182.0,361135548.0
3,1,49,259,579574556.0,406935294.0
3,17,55,266,1056828479.0,1355279298.0
5,19,16,205,310104744.0,506089315.0
3,13,10,343,332635230.0,1121258190.0
3,21,49,203,572527500.0,452822913.0
0,14,56,326,392259525.0,1448929724.0
1,2,4,222,361135548.0,390851687.0
5,11,9,275,406935294.0,1392809868.0
5,20,32,331,1355279298.0,568484344.0
1,9,49,257,506089315.0,471826082.0
4,17,43,288,1121258190.0,372121626.0
3,1,8,336,452822913.0,367938862.0
1,8,17,201,1448929724.0,532624254.0
5,1,14,219,390851687.0,322332296.0
0,7,22,291,1392809868.0,501243783.0
4,5,23,302,568484344.0,339205402.0
5,5,24,345,471826082.0,343657590.0
2,20,12,286,372121626.0,367348527.0
3,6,0,252,367938862.0,460157409.0
5,19,11,254,532624254.0,639121900.0
2,13,32,265,322332296.0,0.0
2,22,19,293,501243783.0,521406117.0
0,7,0,221,339205402.0,371921200.0
2,17,14,293,343657590.0,668833116.0
5,10,42,261,367348527.0,1208427185.0
5,21,37,289,460157409.0,583098238.0
5,12,19,205,639121900.0,1016606784.0
3,23,17,336,0.0,349163302.0
5,4,11,275,521406117.0,484471499.0
5,16,33,233,371921200.0,623144740.0
1,16,18,215,668833116.0,988557192.0
2,22,19,265,1208427185.0,462701540.0
5,6,0,254,583098238.0,381550424.0
2,3,17,335,1016606784.0,362671055.0
2,19,21,216,349163302.0,532863342.0
3,11,21,273,484471499.0,1766284820.0
4,5,59,281,623144740.0,311538989.0
5,9,5,205,988557192.0,548293312.0
0,19,59,340,462701540.0,529922232.0
5,5,52,345,381550424.0,330317206.0
3,15,58,294,362671055.0,1456547533.0
4,14,34,204,532863342.0,1036265428.0
0,7,44,193,1766284820.0,462958374.0
2,19,11,286,311538989.0,0.0
1,1,18,341,548293312.0,342023266.0
2,10,31,258,529922232.0,1278288297.0
1,15,50,215,330317206.0,1138330177.0
4,11,24,295,1456547533.0,1695679281.0
2,4,52,349,1036265428.0,382895640.0
5,17,20,331,462958374.0,588779398.0
